dispute_id,description,category,description_length,word_count,dispute_number,dispute_bin
D047,This charge occurred at 3 AM while I was sleeping.,FRAUD,50,10,47,"(-1.049, 205.9]"
D048,A large sum was transferred from my account without my consent.,FRAUD,63,11,48,"(-1.049, 205.9]"
D049,This is an unauthorized debit from a company I have never dealt with.,FRAUD,69,13,49,"(-1.049, 205.9]"
D050,"My new card, which I haven't even activated yet, has been used.",FRAUD,63,12,50,"(-1.049, 205.9]"
D051,"I got a call from a scammer, and then this transaction happened.",FRAUD,64,12,51,"(-1.049, 205.9]"
D052,This is a fraudulent withdrawal from my account.,FRAUD,48,8,52,"(-1.049, 205.9]"
D053,The transaction time and location do not match my known whereabouts.,FRAUD,68,11,53,"(-1.049, 205.9]"
D054,This appears to be a fraudulent online gaming purchase I didn't make.,FRAUD,69,12,54,"(-1.049, 205.9]"
D055,I would like to dispute this charge as I believe it's 100% fraud.,FRAUD,65,13,55,"(-1.049, 205.9]"
D056,My card was used for a recurring payment I never signed up for.,FRAUD,63,13,56,"(-1.049, 205.9]"
D057,This is a fraudulent UPI transaction. My phone was stolen an hour ago.,FRAUD,70,13,57,"(-1.049, 205.9]"
D058,I have been scammed by a fake website that looked like the real one.,FRAUD,68,14,58,"(-1.049, 205.9]"
D059,This transaction was declined but a charge still appeared. It feels like fraud.,FRAUD,79,13,59,"(-1.049, 205.9]"
D060,I didn't authorize this payment to a foreign account.,FRAUD,53,9,60,"(-1.049, 205.9]"
D061,An unauthorized charge from a merchant I blocked last month.,FRAUD,60,10,61,"(-1.049, 205.9]"
D062,I clicked on a suspicious link and now I see this charge. I've been hacked.,FRAUD,75,15,62,"(-1.049, 205.9]"
D063,This payment was for a 'free trial' that I never agreed to. Total scam.,FRAUD,71,14,63,"(-1.049, 205.9]"
D064,I am reporting this transaction as fraudulent. Please take necessary action.,FRAUD,76,11,64,"(-1.049, 205.9]"
D065,My card was used for a cash advance I did not perform.,FRAUD,54,12,65,"(-1.049, 205.9]"
D066,I have video proof I was elsewhere when this transaction occurred.,FRAUD,66,11,66,"(-1.049, 205.9]"
D067,This transaction is from a company that has been reported for scamming.,FRAUD,71,12,67,"(-1.049, 205.9]"
D068,My phone was compromised and this UPI payment was made remotely.,FRAUD,64,11,68,"(-1.049, 205.9]"
D069,The amount is for a service I explicitly canceled. Taking money is fraud.,FRAUD,73,13,69,"(-1.049, 205.9]"
D070,This transaction has all the signs of being fraudulent.,FRAUD,55,9,70,"(-1.049, 205.9]"
D071,Received a fake OTP request and then this debit happened.,FRAUD,57,10,71,"(-1.049, 205.9]"
D072,I've never heard of this 'online store'. It's a fraudulent charge.,FRAUD,66,11,72,"(-1.049, 205.9]"
D073,My card was used for a large purchase immediately after a small test transaction.,FRAUD,81,14,73,"(-1.049, 205.9]"
D074,I am reporting this unauthorized debit. I did not make this purchase.,FRAUD,69,12,74,"(-1.049, 205.9]"
D075,This charge is from a different timezone and country. Not mine.,FRAUD,63,11,75,"(-1.049, 205.9]"
D076,The merchant name looks suspicious and I can't find them online.,FRAUD,64,11,76,"(-1.049, 205.9]"
D077,This is a fraudulent renewal for a subscription I cancelled years ago.,FRAUD,70,12,77,"(-1.049, 205.9]"
D078,"My physical card is with me, but it was somehow used at a POS terminal.",FRAUD,71,15,78,"(-1.049, 205.9]"
D079,This is not my purchase. Someone has my card details.,FRAUD,53,10,79,"(-1.049, 205.9]"
D080,A payment was made from my account that I certainly did not approve.,FRAUD,68,13,80,"(-1.049, 205.9]"
D081,Reporting a fraudulent debit. I was not online at the time of this transaction.,FRAUD,79,14,81,"(-1.049, 205.9]"
D082,This charge from an unknown entity needs to be investigated as fraud.,FRAUD,69,12,82,"(-1.049, 205.9]"
D083,My account details were stolen and used for this transaction.,FRAUD,61,10,83,"(-1.049, 205.9]"
D084,This is an obvious fraud. The charge is from a city I have never been to.,FRAUD,73,16,84,"(-1.049, 205.9]"
D085,An unauthorized payment was made while my phone was switched off.,FRAUD,65,11,85,"(-1.049, 205.9]"
D086,I want to report this transaction as fraudulent and get a new card issued.,FRAUD,74,14,86,"(-1.049, 205.9]"
D087,"I believe I was a victim of a SIM swap fraud, leading to this UPI transaction.",FRAUD,78,16,87,"(-1.049, 205.9]"
D088,This company is a scam. I did not authorize this payment.,FRAUD,57,11,88,"(-1.049, 205.9]"
D089,My card was charged for an order I never placed.,FRAUD,48,10,89,"(-1.049, 205.9]"
D090,This is a fraudulent transaction; the delivery address is not mine.,FRAUD,67,11,90,"(-1.049, 205.9]"
D091,I don't recall making this purchase on this date. Can you check?,FRAUD,64,12,91,"(-1.049, 205.9]"
D092,"This charge seems familiar, but the amount is much higher than I remember.",FRAUD,74,13,92,"(-1.049, 205.9]"
D093,My spouse says they didn't make this payment either. We don't know what it's for.,FRAUD,81,15,93,"(-1.049, 205.9]"
D094,I thought I canceled this subscription. Why am I still being charged?,FRAUD,69,12,94,"(-1.049, 205.9]"
D095,I'm not sure what this charge is for. The merchant name is very generic.,FRAUD,72,14,95,"(-1.049, 205.9]"
D096,Can you provide more details on this transaction? I don't recognize it.,FRAUD,71,12,96,"(-1.049, 205.9]"
D097,"I bought something from this site before, but I haven't used it in months.",FRAUD,74,14,97,"(-1.049, 205.9]"
D098,"The amount is small, but I am certain I did not authorize this.",FRAUD,63,13,98,"(-1.049, 205.9]"
D099,This might be a mistake. I don't remember spending this much at this store.,FRAUD,75,14,99,"(-1.049, 205.9]"
D100,Is this a recurring payment? I only signed up for a one-time service.,FRAUD,69,13,100,"(-1.049, 205.9]"
D101,This purchase was for a digital good that was never delivered. Feels like a scam.,FRAUD,81,15,101,"(-1.049, 205.9]"
D102,I was browsing this website but I never completed the checkout process.,FRAUD,71,12,102,"(-1.049, 205.9]"
D103,My child might have used my card without permission for an in-game purchase.,FRAUD,76,13,103,"(-1.049, 205.9]"
D104,The company charged me for a premium service I never subscribed to.,FRAUD,67,12,104,"(-1.049, 205.9]"
D105,I'm looking at my statement and this particular charge doesn't add up.,FRAUD,70,12,105,"(-1.049, 205.9]"
D106,"This merchant has a very bad reputation online, and I regret making a purchase.",FRAUD,79,14,106,"(-1.049, 205.9]"
D107,I received an item that is completely different from the description. It's a fake.,FRAUD,82,14,107,"(-1.049, 205.9]"
D108,The transaction details are vague. Can you tell me what 'SERV*DigitalOcean' is?,FRAUD,79,12,108,"(-1.049, 205.9]"
D109,I'm disputing this charge. I tried contacting the merchant with no response.,FRAUD,76,12,109,"(-1.049, 205.9]"
D110,"This charge is from a company I've never heard of, for a service I don't use.",FRAUD,77,16,110,"(-1.049, 205.9]"
D111,The website I bought from is now offline. I think I've been scammed.,FRAUD,68,13,111,"(-1.049, 205.9]"
D112,This looks like an automatic renewal I was not notified about and did not want.,FRAUD,79,15,112,"(-1.049, 205.9]"
D113,I'm concerned about this transaction. It doesn't seem legitimate.,FRAUD,65,9,113,"(-1.049, 205.9]"
D114,"I made one purchase, but it looks like I was signed up for a monthly fee.",FRAUD,73,16,114,"(-1.049, 205.9]"
D115,There is a transaction on my card from a vendor I do not know.,FRAUD,62,14,115,"(-1.049, 205.9]"
D116,I'm pretty sure I cancelled my free trial before the billing date.,FRAUD,66,12,116,"(-1.049, 205.9]"
D117,The location for this POS transaction is incorrect. I was at a different branch.,FRAUD,80,14,117,"(-1.049, 205.9]"
D118,"I tried to pay, it said 'failed', but my card was charged anyway. Now the site is gone.",FRAUD,87,18,118,"(-1.049, 205.9]"
D119,I have a charge here that I am questioning the validity of.,FRAUD,59,12,119,"(-1.049, 205.9]"
D120,"This payment was for a product I returned, but the merchant won't refund me.",FRAUD,76,14,120,"(-1.049, 205.9]"
D121,This charge is for a significantly different amount than what was on the receipt.,FRAUD,81,14,121,"(-1.049, 205.9]"
D122,"I was promised a refund that never came, now I believe the whole thing was a scam.",FRAUD,82,17,122,"(-1.049, 205.9]"
D123,The item I bought was a counterfeit. The merchant is unresponsive.,FRAUD,66,11,123,"(-1.049, 205.9]"
D124,I suspect an employee at a restaurant copied my card details.,FRAUD,61,11,124,"(-1.049, 205.9]"
D125,This transaction does not correspond to any of my recent activities.,FRAUD,68,11,125,"(-1.049, 205.9]"
D126,A payment was taken from my account for an order that was immediately cancelled.,FRAUD,80,14,126,"(-1.049, 205.9]"
D127,I am seeing a debit that I do not believe I am responsible for.,FRAUD,63,14,127,"(-1.049, 205.9]"
D128,This seems to be a hidden charge from a booking I made online.,FRAUD,62,13,128,"(-1.049, 205.9]"
D129,The merchant is not providing the service as advertised and refuses a refund.,FRAUD,77,13,129,"(-1.049, 205.9]"
D130,I don't remember entering my card details on this website.,FRAUD,58,10,130,"(-1.049, 205.9]"
D131,This transaction is highly unusual for my account. Please look into it.,FRAUD,71,12,131,"(-1.049, 205.9]"
D132,"The amount was supposed to be in local currency, but it was charged in USD.",FRAUD,75,15,132,"(-1.049, 205.9]"
D133,This charge is from a vendor whose name I don't recognize.,FRAUD,58,11,133,"(-1.049, 205.9]"
D134,I'm disputing this fee. It was not disclosed to me at the time of purchase.,FRAUD,75,15,134,"(-1.049, 205.9]"
D135,I believe this merchant is engaging in deceptive billing practices.,FRAUD,67,10,135,"(-1.049, 205.9]"
D136,I have a strange charge from 'Miscellaneous Goods' that I can't place.,FRAUD,70,12,136,"(-1.049, 205.9]"
D137,"My card was charged, but I never received a confirmation email or product.",FRAUD,74,13,137,"(-1.049, 205.9]"
D138,The final price was much higher than what was shown in the cart.,FRAUD,64,13,138,"(-1.049, 205.9]"
D139,This debit happened overnight from a merchant I've never used.,FRAUD,62,10,139,"(-1.049, 205.9]"
D140,I'm concerned my account information may have been compromised.,FRAUD,63,9,140,"(-1.049, 205.9]"
D141,I can't find any record of this transaction in my email or order history.,FRAUD,73,14,141,"(-1.049, 205.9]"
D142,I was overcharged for this service. The agreed price was lower.,FRAUD,63,11,142,"(-1.049, 205.9]"
D143,This transaction is suspicious because I haven't used this card in over a year.,FRAUD,79,14,143,"(-1.049, 205.9]"
D144,I'm questioning a debit on my account statement.,FRAUD,48,8,144,"(-1.049, 205.9]"
D145,A company I blocked has charged me again using a different name.,FRAUD,64,12,145,"(-1.049, 205.9]"
D146,The product quality was so poor it's practically a scam. I want a chargeback.,FRAUD,77,14,146,"(-1.049, 205.9]"
D147,I have an unexpected charge from a digital service I don't use.,FRAUD,63,12,147,"(-1.049, 205.9]"
D148,"This merchant's website seemed legitimate, but they never shipped my item.",FRAUD,74,11,148,"(-1.049, 205.9]"
D149,This fee is not part of my agreement with the service provider.,FRAUD,63,12,149,"(-1.049, 205.9]"
D150,The charge is for a different product than the one I added to my cart.,FRAUD,70,15,150,"(-1.049, 205.9]"
D151,I'm not familiar with this transaction and would like to dispute it.,FRAUD,68,12,151,"(-1.049, 205.9]"
D152,This charge seems to be related to a pop-up I clicked on by mistake.,FRAUD,68,14,152,"(-1.049, 205.9]"
D153,I've been charged for a membership I didn't sign up for.,FRAUD,56,11,153,"(-1.049, 205.9]"
D154,The service was terrible and not as promised. The company feels like a fraud.,FRAUD,77,14,154,"(-1.049, 205.9]"
D155,This charge is from a foreign company I have no dealings with.,FRAUD,62,12,155,"(-1.049, 205.9]"
D156,I'm raising a dispute for a charge that I don't believe is valid.,FRAUD,65,13,156,"(-1.049, 205.9]"
D157,This merchant added unauthorized items to my bill.,FRAUD,50,8,157,"(-1.049, 205.9]"
D158,"I was told the payment didn't go through, so I paid again. Now I see both charges.",FRAUD,82,17,158,"(-1.049, 205.9]"
D159,"The item arrived broken, and the seller has since closed their store.",FRAUD,69,12,159,"(-1.049, 205.9]"
D160,This charge is for a higher amount than my pre-authorization.,FRAUD,61,10,160,"(-1.049, 205.9]"
D161,"The service provided was not as described, I want my money back.",FRAUD,64,12,161,"(-1.049, 205.9]"
D162,This merchant has charged me again for something I bought last month.,FRAUD,69,12,162,"(-1.049, 205.9]"
D163,I'm not happy with this purchase. It feels like I was misled.,FRAUD,61,12,163,"(-1.049, 205.9]"
D164,I am disputing the quality of the goods received for this transaction.,FRAUD,70,12,164,"(-1.049, 205.9]"
D165,The merchant is refusing to honor their return policy.,FRAUD,54,9,165,"(-1.049, 205.9]"
D166,"I cancelled this order within minutes, why was I still charged?",FRAUD,63,11,166,"(-1.049, 205.9]"
D167,This charge is related to a service that didn't work. The company won't reply.,FRAUD,78,14,167,"(-1.049, 205.9]"
D168,I paid for express shipping but the item never arrived.,FRAUD,55,10,168,"(-1.049, 205.9]"
D169,The final bill was padded with extra charges I did not approve.,FRAUD,63,12,169,"(-1.049, 205.9]"
D170,This transaction was for a pre-order of a product that was never released.,FRAUD,74,13,170,"(-1.049, 205.9]"
D171,"I want to reverse this payment, the business is a sham.",FRAUD,55,11,171,"(-1.049, 205.9]"
D172,The amount debited is wrong. It should have been much less.,FRAUD,59,11,172,"(-1.049, 205.9]"
D173,I have a problem with a recent transaction. The merchant is being difficult.,FRAUD,76,13,173,"(-1.049, 205.9]"
D174,This company's advertising was completely false. I want a chargeback.,FRAUD,69,10,174,"(-1.049, 205.9]"
D175,I've been double-billed for my monthly subscription this month.,FRAUD,63,9,175,"(-1.049, 205.9]"
D176,The product I received is a cheap knock-off. This is not what I paid for.,FRAUD,73,15,176,"(-1.049, 205.9]"
D177,This hotel charged my card for mini-bar items I did not consume.,FRAUD,64,12,177,"(-1.049, 205.9]"
D178,I have an issue with a charge from a rental car company. The fees are not right.,FRAUD,80,17,178,"(-1.049, 205.9]"
D179,The consultant I paid did not provide the services promised.,FRAUD,60,10,179,"(-1.049, 205.9]"
D180,I am requesting a chargeback because the merchant has gone out of business.,FRAUD,75,13,180,"(-1.049, 205.9]"
D181,This charge is related to an unresolved issue I have with the vendor.,FRAUD,69,13,181,"(-1.049, 205.9]"
D182,They charged me a 'non-refundable deposit' for a service that was cancelled.,FRAUD,76,12,182,"(-1.049, 205.9]"
D183,The digital course I purchased is of extremely low quality and not as advertised.,FRAUD,81,14,183,"(-1.049, 205.9]"
D184,This looks like the same transaction I disputed last month from the same merchant.,FRAUD,82,14,184,"(-1.049, 205.9]"
D185,I was charged for a full year's subscription when I only wanted one month.,FRAUD,74,14,185,"(-1.049, 205.9]"
D186,The seller sent an empty box. I have been scammed.,FRAUD,50,10,186,"(-1.049, 205.9]"
D187,This airline charged me for baggage that should have been free.,FRAUD,63,11,187,"(-1.049, 205.9]"
D188,I'm raising this dispute as my attempts to resolve with the merchant have failed.,FRAUD,81,14,188,"(-1.049, 205.9]"
D189,The software I bought doesn't work and the seller won't issue a refund.,FRAUD,71,13,189,"(-1.049, 205.9]"
D190,This charge is incorrect. Please investigate this billing error.,FRAUD,64,9,190,"(-1.049, 205.9]"
D191,"The price tag said one thing, my statement says another.",FRAUD,56,10,191,"(-1.049, 205.9]"
D192,I believe I was deliberately overcharged at this restaurant.,FRAUD,60,9,192,"(-1.049, 205.9]"
D193,This repair shop charged me for work that was not performed.,FRAUD,60,11,193,"(-1.049, 205.9]"
D194,I have been billed for a service after my contract had already ended.,FRAUD,69,13,194,"(-1.049, 205.9]"
D195,"The event I bought tickets for was cancelled, but the organizer is not refunding.",FRAUD,81,14,195,"(-1.049, 205.9]"
D196,I want to dispute this payment. The goods were not authentic.,FRAUD,61,11,196,"(-1.049, 205.9]"
D197,A strange charge appeared on my account after using a public Wi-Fi.,FRAUD,67,12,197,"(-1.049, 205.9]"
D198,The gym is still charging my card even after I cancelled my membership in writing.,FRAUD,82,15,198,"(-1.049, 205.9]"
D199,I'm challenging this transaction as the services rendered were incomplete.,FRAUD,74,10,199,"(-1.049, 205.9]"
D200,The company made unauthorized withdrawals after I cancelled my authorization.,FRAUD,77,10,200,"(-1.049, 205.9]"
D201,"The subscription was much harder to cancel than to sign up for, seems intentional.",FRAUD,82,14,201,"(-1.049, 205.9]"
D202,This vendor is non-communicative after taking my money.,FRAUD,55,8,202,"(-1.049, 205.9]"
D203,A payment was processed on my card for a purchase I decided not to make.,FRAUD,72,15,203,"(-1.049, 205.9]"
D204,The terms of service were changed without notice leading to this charge.,FRAUD,72,12,204,"(-1.049, 205.9]"
D205,I'm unhappy with the resolution offered by the merchant for a faulty product.,FRAUD,77,13,205,"(-1.049, 205.9]"
D206,I returned the rental equipment on time but was charged a late fee.,FRAUD,67,13,206,"(205.9, 410.8]"
D207,There's a discrepancy in the amount I was supposed to be charged for this hotel stay.,FRAUD,85,16,207,"(205.9, 410.8]"
D208,I am filing a complaint against this merchant for unethical business practices.,FRAUD,79,12,208,"(205.9, 410.8]"
D209,"This charge is for a 'free' gift that I was asked to pay shipping for, but nothing came.",FRAUD,88,18,209,"(205.9, 410.8]"
D210,I'm disputing this because the merchant is refusing to send a proper invoice.,FRAUD,77,13,210,"(205.9, 410.8]"
D211,The product stopped working after a day and the seller is ignoring me.,FRAUD,70,13,211,"(205.9, 410.8]"
D212,"This donation was supposed to be a one-time thing, not monthly.",FRAUD,63,11,212,"(205.9, 410.8]"
D213,I have evidence that this merchant is running a bait-and-switch scam.,FRAUD,69,11,213,"(205.9, 410.8]"
D214,The charge is from an app that my kid downloaded. They shouldn't be allowed to charge.,FRAUD,86,16,214,"(205.9, 410.8]"
D215,"I am not paying for this, the item delivered was not what was pictured online.",FRAUD,78,15,215,"(205.9, 410.8]"
D216,"This company has a history of scamming customers, which I found out too late.",FRAUD,77,14,216,"(205.9, 410.8]"
D217,The workshop I paid for was a complete waste of money and a fraud.,FRAUD,66,14,217,"(205.9, 410.8]"
D218,I'm being charged for a cloud service I deleted my account from months ago.,FRAUD,75,14,218,"(205.9, 410.8]"
D219,The amount charged is higher than the estimate I was given.,FRAUD,59,11,219,"(205.9, 410.8]"
D220,This bill contains charges for services I explicitly declined.,FRAUD,62,9,220,"(205.9, 410.8]"
D221,I was charged twice for the same meal at the restaurant.,DUPLICATE_CHARGE,56,11,221,"(205.9, 410.8]"
D222,My card was swiped two times for the same purchase at the supermarket.,DUPLICATE_CHARGE,70,13,222,"(205.9, 410.8]"
D223,Received two SMS alerts for the exact same transaction amount and merchant.,DUPLICATE_CHARGE,75,12,223,"(205.9, 410.8]"
D224,This is a duplicate charge. I only made one online order.,DUPLICATE_CHARGE,57,11,224,"(205.9, 410.8]"
D225,I got double-billed for my monthly internet subscription.,DUPLICATE_CHARGE,57,8,225,"(205.9, 410.8]"
D226,The exact same UPI payment was debited from my account twice.,DUPLICATE_CHARGE,61,11,226,"(205.9, 410.8]"
D227,"Please reverse one of these charges, they are duplicates.",DUPLICATE_CHARGE,57,9,227,"(205.9, 410.8]"
D228,The merchant charged me again for the same item minutes after the first charge.,DUPLICATE_CHARGE,79,14,228,"(205.9, 410.8]"
D229,My statement shows two identical charges from the same vendor on the same day.,DUPLICATE_CHARGE,78,14,229,"(205.9, 410.8]"
D230,I was billed two times for a single tank of petrol.,DUPLICATE_CHARGE,51,11,230,"(205.9, 410.8]"
D231,"This is a clear duplicate transaction, please refund one.",DUPLICATE_CHARGE,57,9,231,"(205.9, 410.8]"
D232,My credit card was charged twice for one hotel booking.,DUPLICATE_CHARGE,55,10,232,"(205.9, 410.8]"
D233,I have two debits for the same QR code scan.,DUPLICATE_CHARGE,44,10,233,"(205.9, 410.8]"
D234,Why was my account charged twice for the same utility bill payment?,DUPLICATE_CHARGE,67,12,234,"(205.9, 410.8]"
D235,The POS machine seemed faulty and the cashier swiped my card twice.,DUPLICATE_CHARGE,67,12,235,"(205.9, 410.8]"
D236,Reporting a duplicate debit for my monthly gym membership.,DUPLICATE_CHARGE,58,9,236,"(205.9, 410.8]"
D237,"I paid my EMI, but the amount was deducted two times.",DUPLICATE_CHARGE,53,11,237,"(205.9, 410.8]"
D238,"This is a duplicate charge, identical to the one right above it on my statement.",DUPLICATE_CHARGE,80,15,238,"(205.9, 410.8]"
D239,The food delivery app charged me twice for a single order.,DUPLICATE_CHARGE,58,11,239,"(205.9, 410.8]"
D240,I'm seeing a double charge for my recent online purchase.,DUPLICATE_CHARGE,57,10,240,"(205.9, 410.8]"
D241,"One transaction, but two charges. Please fix this.",DUPLICATE_CHARGE,50,8,241,"(205.9, 410.8]"
D242,I was charged twice for the same set of movie tickets.,DUPLICATE_CHARGE,54,11,242,"(205.9, 410.8]"
D243,"The exact same amount was debited twice by the same company, one second apart.",DUPLICATE_CHARGE,78,14,243,"(205.9, 410.8]"
D244,This is a duplicate. I only authorized one payment.,DUPLICATE_CHARGE,51,9,244,"(205.9, 410.8]"
D245,My monthly software subscription was billed twice this month.,DUPLICATE_CHARGE,61,9,245,"(205.9, 410.8]"
D246,"I used my card once, but the statement shows two charges.",DUPLICATE_CHARGE,57,11,246,"(205.9, 410.8]"
D247,A duplicate payment was made to the same UPI ID.,DUPLICATE_CHARGE,48,10,247,"(205.9, 410.8]"
D248,"Please refund the second charge, it's a duplicate.",DUPLICATE_CHARGE,50,8,248,"(205.9, 410.8]"
D249,The toll booth charged my FASTag twice for the same crossing.,DUPLICATE_CHARGE,61,11,249,"(205.9, 410.8]"
D250,I need to dispute one of these two identical charges.,DUPLICATE_CHARGE,53,10,250,"(205.9, 410.8]"
D251,There are two debits for my one-time doctor's appointment fee.,DUPLICATE_CHARGE,62,10,251,"(205.9, 410.8]"
D252,I was accidentally charged twice by the barista.,DUPLICATE_CHARGE,48,8,252,"(205.9, 410.8]"
D253,My card was billed two times for a single online course.,DUPLICATE_CHARGE,56,11,253,"(205.9, 410.8]"
D254,This is a straightforward duplicate billing error.,DUPLICATE_CHARGE,50,7,254,"(205.9, 410.8]"
D255,I'm requesting a reversal of a duplicate charge from my recent shopping.,DUPLICATE_CHARGE,72,12,255,"(205.9, 410.8]"
D256,The app processed my payment twice for the same ride.,DUPLICATE_CHARGE,53,10,256,"(205.9, 410.8]"
D257,I have been charged twice for the same mobile recharge.,DUPLICATE_CHARGE,55,10,257,"(205.9, 410.8]"
D258,A clear case of a double charge. The transaction IDs are almost identical.,DUPLICATE_CHARGE,74,13,258,"(205.9, 410.8]"
D259,"Please look into this, I've been charged twice for the same service.",DUPLICATE_CHARGE,68,12,259,"(205.9, 410.8]"
D260,The parking meter charged my card two times.,DUPLICATE_CHARGE,44,8,260,"(205.9, 410.8]"
D261,This is a duplicate debit. I only bought one item.,DUPLICATE_CHARGE,50,10,261,"(205.9, 410.8]"
D262,My account shows two payments for my electricity bill.,DUPLICATE_CHARGE,54,9,262,"(205.9, 410.8]"
D263,"I paid once, but it shows up twice on my bank activity.",DUPLICATE_CHARGE,55,12,263,"(205.9, 410.8]"
D264,The system charged me twice for my annual membership renewal.,DUPLICATE_CHARGE,61,10,264,"(205.9, 410.8]"
D265,I'm reporting a duplicate transaction that occurred yesterday.,DUPLICATE_CHARGE,62,8,265,"(205.9, 410.8]"
D266,Got charged twice at the drive-thru.,DUPLICATE_CHARGE,36,6,266,"(205.9, 410.8]"
D267,There's a duplicate of a charge from three days ago.,DUPLICATE_CHARGE,52,10,267,"(205.9, 410.8]"
D268,A second charge appeared for a payment I made this morning.,DUPLICATE_CHARGE,59,11,268,"(205.9, 410.8]"
D269,My insurance premium was deducted twice this month.,DUPLICATE_CHARGE,51,8,269,"(205.9, 410.8]"
